Approved_Symbol	Entrez_ID	BIG-C_Category	Affymetrix_HGU133A	BrainArray_HGU133A	Affymetrix_HGU133A2	BrainArray_HGU133A2	Affymetrix_HGU133-Plus2	BrainArray_HGU133-Plus2	Affymetrix_HuGene1-1	BrainArray_HuGene1-1	Illumina_HWG-6v2	Illumina_HWG-6v3	Illumina_HT-12v3	Illumina_HT-12v4
COX6C	1345	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
COX7A1	1346	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
COX7A2	1347	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
COX7B	1349	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
COX7C	1350	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
COX8A	1351	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
CPA2	1358	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CPA3	1359	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CPA4	51200	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CPD	1362	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CPE	1363	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CPEB1	64506	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CPEB3	22849	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CPED1	79974	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CPLX3	594855	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CPM	1368	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CPN1	1369	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CPN2	1370	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CPNE3	8895	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CPNE6	9362	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CPNE7	27132	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CPPED1	55313	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CPQ	10404	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CPS1	1373	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CPSF4	10898	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CPSF6	11052	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CPSF7	79869	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CPT1A	1374	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CPT2	1376	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CPVL	54504	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CR1	1378	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CR2	1380	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CRABP2	1382	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRADD	8738	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
CRAT	1384	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CRB1	23418	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CRBN	51185	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CRCP	27297	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CRCT1	54544	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CREB1	1385	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CREB3	10488	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L1	90993	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L2	64764	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
CREBBP	1387	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CREBL2	1389	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CREG1	8804	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRELD1	78987	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CRELD2	79174	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CREM	1390	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRHBP	1393	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRIM1	51232	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRIP1	1396	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CRIP2	1397	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
CRIPT	9419	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CRISP2	7180	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRISP3	10321	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRISPLD2	83716	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRK	1398	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRKL	1399	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRLF1	9244	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRLF3	51379	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRMP1	1400	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CRNKL1	51340	mRNA-Splicing	1	1	1	1	1	1	1	1	1	1	1	1
CROCC	9696	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CROT	54677	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
CRP	1401	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRTAC1	55118	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CRTAM	56253	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CRTAP	10491	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CRTC1	23373	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CRX	1406	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CRY1	1407	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CRY2	1408	DNA-Repair	1	1	1	1	1	1	1	1	1	1	1	1
CRYAB	1410	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CRYBB2	1415	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CRYL1	51084	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CRYM	1428	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CRYZ	1429	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CRYZL1	9946	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CSAD	51380	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CSDC2	27254	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CSDE1	7812	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CSE1L	1434	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
CSF1	1435	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CSF1R	1436	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CSF2	1437	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CSF2RA	1438	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CSF2RB	1439	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CSF3	1440	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CSF3R	1441	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CSGALNACT2	55454	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CSHL1	1444	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CSK	1445	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK1A1	1452	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK1D	1453	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK1G1	53944	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK1G2	1455	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK1G3	1456	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK2A2	1459	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSNK2B	1460	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CSPG4	1464	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CSRNP2	81566	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CSRNP3	80034	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CSRP1	1465	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CSRP2	1466	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
CSRP3	8048	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CST1	1469	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST2	1470	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST3	1471	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST4	1472	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST5	1473	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST6	1474	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CST7	8530	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CSTA	1475	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CSTB	1476	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CSTF1	1477	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CSTF2	1478	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CSTF2T	23283	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CSTF3	1479	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CTAG2	30848	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CTAGE5	4253	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CTBP1	1487	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CTBP2	1488	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CTBS	1486	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTCF	10664	Chromatin-Remodeling	1	1	1	1	1	1	1	1	1	1	1	1
CTDNEP1	23399	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
CTDP1	9150	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CTDSP1	58190	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CTDSP2	10106	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CTDSPL	10217	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CTGF	1490	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CTH	1491	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CTIF	9811	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
CTLA4	1493	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CTNNA1	1495	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CTNNAL1	8727	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CTNNB1	1499	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CTNNBIP1	56998	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CTNNBL1	56259	mRNA-Splicing	1	1	1	1	1	1	1	1	1	1	1	1
CTNND2	1501	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CTNS	1497	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTPS1	1503	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CTPS2	56474	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CTR9	9646	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
CTRL	1506	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CTSA	5476	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSB	1508	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSC	1075	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSD	1509	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSF	8722	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSG	1511	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CTSK	1513	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSL	1514	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSO	1519	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSS	1520	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSV	1515	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTSW	1521	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CTSZ	1522	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
CTTN	2017	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CUBN	8029	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CUEDC1	404093	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
CUEDC2	79004	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL1	8454	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL2	8453	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL3	8452	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL4A	8451	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL4B	8450	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL5	8065	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL7	9820	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUL9	23113	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
CUTA	51596	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CUTC	51076	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
CUX1	1523	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CUX2	23316	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CWC25	54883	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CWF19L1	55280	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CX3CL1	6376	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CX3CR1	1524	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXADR	1525	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
CXCL1	2919	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL10	3627	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL11	6373	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL12	6387	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL13	10563	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL14	9547	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL2	2920	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL3	2921	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL5	6374	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL6	6372	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL8	3576	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCL9	4283	Secreted-Immune	1	1	1	1	1	1	1	1	1	1	1	1
CXCR1	3577	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXCR2	3579	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXCR3	2833	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXCR4	7852	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXCR5	643	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXCR6	10663	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CXorf21	80231	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CXorf36	79742	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CXorf56	63932	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CXorf57	55086	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CXXC1	30827	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
CXXC4	80319	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
CYB561	1534	Endosome-and-Vesicles	1	1	1	1	1	1	1	1	1	1	1	1
CYB561D2	11068	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CYB5A	1528	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYB5B	80777	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYB5R1	51706	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CYB5R2	51700	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CYB5R3	1727	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYB5R4	51167	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
CYBA	1535	Reactive-Oxygen-Species-Protection	1	1	1	1	1	1	1	1	1	1	1	1
CYBB	1536	Reactive-Oxygen-Species-Protection	1	1	1	1	1	1	1	1	1	1	1	1
CYBRD1	79901	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
CYC1	1537	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
CYCS	54205	Mitochondria-Oxidative-Phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1
CYFIP1	23191	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CYFIP2	26999	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CYHR1	50626	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CYLD	1540	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
CYP11A1	1583	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP11B1	1584	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP11B2	1585	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP17A1	1586	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP19A1	1588	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP1A1	1543	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP1A2	1544	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP1B1	1545	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP20A1	57404	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
CYP24A1	1591	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP26A1	1592	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP26B1	56603	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP27A1	1593	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP27B1	1594	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
CYP2B6	1555	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2B7P	1556	Pseudogenes	1	1	1	1	1	1	1	1	1	1	1	1
CYP2C19	1557	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2C8	1558	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2C9	1559	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2E1	1571	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2J2	1573	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP2R1	120227	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
CYP39A1	51302	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP3A4	1576	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP3A5	1577	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP4B1	1580	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP4F12	66002	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP4F2	8529	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYP4F8	11283	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
CYR61	3491	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
CYSLTR2	57105	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
CYTH1	9267	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
CYTH2	9266	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
CYTH3	9265	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
CYTH4	27128	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
CYTIP	9595	Endosome-and-Vesicles	1	1	1	1	1	1	1	1	1	1	1	1
CYTL1	54360	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
DAAM1	23002	WNT-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
DAAM2	23500	WNT-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
DAB2	1601	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
DACH1	1602	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
DACT1	51339	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
DAD1	1603	Anti-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
DAG1	1605	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
DALRD3	55152	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
DAP	1611	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
DAP3	7818	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
DAPK1	1612	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
DAPK2	23604	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
DAPP1	27071	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
DARS	1615	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
DARS2	55157	Mitochondria-DNA-to-RNA	1	1	1	1	1	1	1	1	1	1	1	1
DAXX	1616	Anti-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
DAZAP1	26528	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
DAZAP2	9802	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
DAZL	1618	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
DBF4	10926	Pro-Proliferation	1	1	1	1	1	1	1	1	1	1	1	1
DBH	1621	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
DBI	1622	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
DBN1	1627	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
DBP	1628	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
DBR1	51163	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
DBT	1629	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
DCAF1	9730	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF11	80344	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF15	90379	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF16	54876	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF17	80067	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF6	55827	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAF7	10238	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCAKD	79877	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
DCBLD2	131566	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
DCC	1630	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
DCHS1	8642	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
DCK	1633	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
DCLRE1A	9937	DNA-Repair	1	1	1	1	1	1	1	1	1	1	1	1
DCLRE1B	64858	DNA-Repair	1	1	1	1	1	1	1	1	1	1	1	1
DCLRE1C	64421	DNA-Repair	1	1	1	1	1	1	1	1	1	1	1	1
DCN	1634	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
DCP1A	55802	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
DCP2	167227	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
DCPS	28960	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
DCT	1638	Melanosome	1	1	1	1	1	1	1	1	1	1	1	1
DCTD	1635	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
DCTN2	10540	Pro-Proliferation	1	1	1	1	1	1	1	1	1	1	1	1
DCTN3	11258	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
DCTN4	51164	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
DCTN5	84516	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
DCTN6	10671	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
DCTPP1	79077	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
DCUN1D2	55208	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCUN1D4	23142	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DCXR	51181	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
DDA1	79016	Ubiquitylation-and-Sumoylation	1	1	1	1	1	1	1	1	1	1	1	1
DDAH1	23576	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
DDAH2	23564	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
